Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock
22050,87100,178000,33400,82800,32050,82000,166000,51000,177000,61700,5520,373500,22600,83700,126000,35000,68800,3000,573000,36600,6850,391000,25650,8190,52700,45500,182000,98300,30250,207500,20450,80500,67900,16650,4910,51000,133000,45300,6575,5030,238000,33950,390000,130500,157000,11400,25750,103500,36400,35000,42700,324500,68200,29000,529000,1295000,23800,13850,22350,944000,25750,355500,299000,23250,240500,12200,77800,44900,11950,23900,16900,28000,3715,104500,11950,7870,78600,70000,51600,9600,179000,215000,26700,18700,85000,108000,192500,70400,71700,167500,129500,147000,232000,127500,25500,731000,90600,25100
23050,88400,185500,34150,83000,32500,82900,166000,50900,179500,63500,5750,378000,22450,86200,127500,34550,70100,3085,576000,36850,6990,393000,26500,8440,52800,46900,188500,99600,31500,211000,21250,82900,70100,17150,4980,52600,137000,43400,6605,5160,241000,34700,382000,134500,162500,11400,26500,107000,38350,36150,44250,324000,67700,29800,539000,1307000,24300,13900,23300,947000,26350,355500,287500,23150,243500,12250,78600,46050,12150,23750,17150,28400,3905,107000,12050,8020,81200,71300,52300,10050,177500,218000,27400,19000,87700,106000,197500,69600,74300,173000,135500,150500,241000,125500,25900,741000,90200,26200
23000,87600,185500,34450,83700,32850,83300,163000,50900,173500,63300,5720,370000,20000,85700,128000,33400,70800,3100,567000,37750,6960,385500,26450,8420,53000,46400,190500,99600,31600,217500,21400,76700,69300,16800,5010,52500,134500,44050,6575,5150,243500,35050,362000,134000,162000,11400,26800,107000,38300,36650,44700,311500,66400,30000,513000,1317000,24200,14000,23450,945000,26300,328000,282500,23200,252500,12250,79500,46150,12350,23600,17200,28400,4025,108500,12200,8130,82200,72200,51900,10050,178000,218500,27500,19050,89800,104000,199000,65200,74200,176500,137500,146000,244500,124500,26200,736000,89700,26700
22800,90100,187500,33900,84800,32200,84700,166000,52100,175500,64000,5730,366500,19600,86700,127000,33900,71300,3145,565000,37500,6900,391000,26250,8350,53400,45650,185000,99200,31350,218000,21200,76500,71300,17200,5030,52200,135500,45600,6515,5060,244500,35800,369000,133500,163500,11400,27100,107000,37350,36750,45050,308500,65500,30150,516000,1348000,24450,14050,24100,962000,26300,310500,279500,22400,261000,12200,79200,46100,12500,23950,17350,28300,4095,110500,12250,8140,80800,73300,51900,9750,177000,218000,27300,19000,88300,106500,201000,64900,76000,175000,141000,145500,244500,123000,26250,751000,85400,26900
23700,91100,187500,34600,86000,32950,85000,167000,52300,178500,64000,5870,370500,19450,87800,130000,34200,70800,3125,572000,36250,6890,388000,26250,8480,55000,46100,183000,101500,31800,221500,21450,78000,72000,17750,5100,53200,136000,43150,6620,5230,245500,35750,360500,135500,163000,11400,27600,106500,35200,37000,46200,305500,68100,30300,509000,1356000,24800,14350,24750,995000,26600,300500,281500,22250,262000,12800,79900,46650,12500,24250,17800,28900,3930,113000,12600,8210,81700,75700,52500,9380,178000,225000,27250,19350,88600,106000,204500,64500,74700,171500,142500,146500,248500,116500,26650,754000,86900,27800
23600,90500,183000,34500,85400,32150,84600,161500,52300,176000,64000,5880,364000,18850,88500,127000,34100,70900,3060,573000,37000,6800,381000,26050,8370,53600,45300,181500,99200,31850,221500,21050,77400,71800,17800,5130,53300,134500,43000,6680,5150,248500,34800,357000,132000,167000,11450,27250,105000,35400,36950,45650,309500,65000,30050,507000,1380000,24100,14250,24650,944000,26250,294000,277500,22000,272000,11650,79800,45300,12300,24200,17900,28700,3860,112000,12100,8170,81700,76500,51300,9240,177500,221000,26750,19400,89100,105000,195500,61700,74400,172000,142500,140000,247000,106500,26000,771000,85500,24900
23350,90600,181000,33800,84400,32200,84700,160500,52200,173000,64000,5890,360500,18950,88300,127500,33100,71100,3060,566000,36900,6770,371500,25600,8370,52900,45450,181000,99000,31600,215500,20700,76700,72200,17750,5110,52000,133500,43250,6760,5150,245500,34450,356500,131500,168000,11350,27250,104000,35400,37200,45650,308500,64600,29900,496000,1379000,23900,14400,24550,964000,26200,285500,277000,22500,278500,11750,79300,45300,12450,24100,17600,28700,3835,115000,12100,8150,82600,74000,49700,9230,176500,225000,26650,19350,89200,101000,194500,62300,74600,168500,138000,138000,249000,106000,26300,786000,86500,25300
23000,86700,180000,33650,85300,32200,82300,157500,52000,175000,62500,5810,353000,18850,87600,127000,32700,68800,3030,563000,36750,6730,370500,24800,8410,52600,44550,178500,98200,31500,214000,20450,75600,71400,17650,5110,49550,133500,42450,6755,5050,244500,34400,339000,129000,162500,11400,27300,102500,34950,36350,45450,297500,64400,29700,491500,1326000,23550,14250,24900,893000,26100,269500,269000,21700,297000,11750,78500,44900,12050,23450,16950,27800,3835,113000,12050,8120,80100,73800,48750,9150,171000,222000,26350,19250,86100,100000,194000,60600,73600,167000,138500,136500,245000,97100,26000,752000,86500,24200
22900,86300,176000,33050,85100,32050,82300,157500,50600,174500,63500,5950,335000,19250,87400,129000,33300,71000,3030,557000,36450,6670,363500,24550,8270,52800,42850,174000,97700,31600,220500,20500,75100,71200,17350,5100,51600,133000,43800,6820,5000,243500,33950,326000,131000,167500,11400,27000,101500,35100,36250,44500,306000,63200,28750,490500,1346000,23750,13950,27050,891000,26200,267500,267000,21500,291000,11350,78200,44700,12200,23550,16400,27350,3820,116000,12250,8080,79500,72200,49600,9060,168500,211000,26350,19500,85800,102000,192000,61000,74500,167000,139000,134000,246000,100500,26300,775000,80200,24650
22700,84300,176000,32600,83600,32100,80500,156500,50500,171500,62600,5910,334500,19050,87600,128000,33900,66000,3010,551000,36900,6450,363000,24350,8200,52400,41300,175500,97700,31500,206500,20050,76300,71400,17450,5110,47100,133000,43550,6710,4930,245000,33900,328500,130000,153000,11450,26800,102000,34250,36250,44600,311000,63500,29000,489500,1300000,23500,14000,26900,890000,25950,267500,264000,21450,293000,11250,77700,44400,12100,23250,16300,27150,3790,116500,11700,8020,76100,71100,50100,9050,169000,207000,26100,19050,85700,102500,192000,61200,71800,166000,137500,139000,241500,95200,25250,784000,80600,23650
