Open,High,Low,Close,Price_5,Price_10,Price_20,Price_60,Price_120,Volume,Volume_5,Volume_10,Volume_20,Volume_60,Volume_120,Volume Ratio,OBV,MACD,MACD_Signal,Momentum,Momentum_Signal,William_R,William_D,Psychology,Psychology_Signal,MFI,MFI_Signal,RSI,RSI_Signal,
104500,104900,89000,91200,106180,108610,113130,135301.67,153010.83,410903,145459.2,128605,118228.5,143500.1,144587.93,72.59,1345788,-7561.09,-7468.31,-28800,-16255.67,-0.9349,-0.7703,0.6,0.4989,29.94,40.24,0.2919,0.3683,
89400,92200,88800,90000,102540,107110,111685,134185,152604.17,174373,166300.2,136739.5,123665.5,144553.65,145288.58,60.14,1171415,-8484.44,-7671.54,-26500,-18304.54,-0.9605,-0.8654,0.5,0.499,29.06,38,0.3019,0.3551,
91000,94000,89900,92000,98820,105260,109925,133051.67,152214.17,106758,168881.4,134471.3,119871.9,144733.53,145518.88,55.23,1278173,-8951.63,-7927.56,-20400,-18723.63,-0.8947,-0.8801,0.5,0.4991,35.97,37.6,0.3426,0.3526,
92100,93600,90500,93600,94980,103090,108380,132075,151830,68774,166334.6,130873.9,117779.1,142550.35,145412.32,64.29,1346947,-9088.02,-8159.65,-12400,-17458.91,-0.8421,-0.8611,0.5,0.4992,40.39,38.15,0.3967,0.3614,
93900,94000,91000,91400,91640,100620,106710,131073.33,151345,69037,165969,128258.3,117867,142169.92,144045.75,56.86,1277910,-9266.8,-8381.08,-9100,-15787.12,-0.9145,-0.8878,0.4,0.4868,41.94,38.91,0.4198,0.3731,
91500,94800,91500,94600,92320,99250,105155,130333.33,150839.17,79322,99652.8,122556,117773.1,139642.25,143110.62,56.73,1357232,-9046,-8514.07,-10400,-14709.7,-0.8092,-0.8485,0.5,0.4885,46.78,40.49,0.4061,0.3797,
92600,92600,90700,91200,92560,97550,103715,129475,150260.83,80679,80914,123607.1,117826.6,138821.05,142049.72,56.69,1276553,-9041.15,-8619.48,-19300,-15627.76,-0.9211,-0.8848,0.5,0.4899,40.13,40.41,0.3189,0.3675,
88700,90800,86800,90600,92280,95550,102420,128520,149692.5,102052,79972.8,124427.1,118704.55,138722.42,141521.38,56.04,1174501,-8982.18,-8692.02,-24700,-17442.21,-0.8827,-0.8837,0.4,0.4787,33.42,39.02,0.2485,0.3437,
91100,97000,90700,95900,92740,93860,101595,127505,149120.83,163425,98903,132618.8,117864.2,139242.53,142180.04,75.75,1337926,-8410.82,-8635.78,-20200,-17993.77,-0.6873,-0.7855,0.4,0.4688,35.16,38.24,0.3116,0.3373,
95900,96000,93400,93800,93220,92430,100985,126458.33,148527.5,65060,98107.6,132038.3,116091.7,138637.27,141339.1,77.81,1272866,-8034.84,-8515.59,-14500,-17295.01,-0.7595,-0.7725,0.4,0.4602,37.15,38.03,0.3486,0.3396,
93800,97500,93400,97100,93720,93020,100815,125286.67,147920.83,75897,97422.6,98537.7,113571.35,136858.12,140886.68,92.58,1348763,-7385.47,-8289.57,-11100,-16056.01,-0.646,-0.7093,0.5,0.4652,41.85,38.79,0.3914,0.3499,
97700,101000,93900,100000,95480,94020,100565,124305,147317.5,95495,100385.8,90649.9,113694.7,135903.52,140193.94,92.79,1444258,-6561.19,-7943.89,-10600,-14964.81,-0.5464,-0.6278,0.6,0.4821,41.5,39.33,0.3973,0.3594,
100300,106000,100300,103100,97980,95130,100195,123401.67,146733.33,120211,104017.6,91995.2,113233.25,135610.73,140579.03,92.01,1564469,-5593.32,-7473.78,-9700,-13911.85,-0.3731,-0.5005,0.6,0.4968,42.66,40,0.4076,0.369,
105400,109800,103200,106500,100100,96420,99755,122535,146151.67,143948,100122.2,99512.6,115193.25,136787.8,141026.28,95.33,1708417,-4500.06,-6879.03,-1600,-11449.48,-0.1435,-0.322,0.6,0.5097,49.9,41.98,0.4844,0.3921,
106900,107400,100200,101700,101680,97450,99035,121533.33,145640.83,121513,111412.8,104760.2,116509.25,137881.65,139864.43,79.11,1586904,-3975.13,-6298.25,10500,-7059.58,-0.3522,-0.3371,0.6,0.521,59.3,45.44,0.6343,0.4405,
103000,106200,101900,105300,103320,98520,98885,120688.33,145185.83,99580,116149.4,106786,114671,133526.88,139378.64,96.92,1686484,-3231.39,-5684.88,15300,-2587.67,-0.1957,-0.2664,0.6,0.5309,69.32,50.22,0.6843,0.4893,
105100,105200,100100,101600,103640,99560,98555,119766.67,144661.67,134864,124023.2,112204.5,117905.8,133809.57,139737.36,91.82,1551620,-2907.01,-5129.31,9600,-150.13,-0.3565,-0.3114,0.6,0.5395,60.3,52.23,0.6111,0.5137,
99000,101000,96700,97600,102540,100260,97905,118721.67,144076.67,115610,123103,113560.3,118993.7,125682.03,139619.77,76.95,1436010,-2938.83,-4691.21,4000,679.89,-0.5304,-0.4209,0.6,0.5471,53.8,52.55,0.5439,0.5197,
97800,98400,92200,94000,100040,100070,96965,117783.33,143377.5,75526,109418.6,104770.4,118694.6,122851.8,138866.55,67.12,1360484,-3217.45,-4396.46,2600,1063.92,-0.687,-0.5539,0.5,0.5412,53.5,52.74,0.5277,0.5213,
95200,97000,93600,95500,98800,100240,96335,116933.33,142655.83,48673,94850.6,103131.7,117585,120514.48,135360.85,74.25,1409157,-3279.42,-4173.05,900,1031.13,-0.6217,-0.5878,0.6,0.5485,52.59,52.71,0.5099,0.519,
92300,94900,91700,93000,96340,99830,96425,116023.33,141956.67,59177,86770,101459.7,99998.7,120425.23,131531.2,100.42,1349980,-3490.03,-4036.45,1800,1184.91,-0.7304,-0.6591,0.5,0.5425,53.29,52.82,0.5203,0.5193,
92600,98700,92600,97900,95600,99620,96820,115121.67,141355,71038,74004.8,99014,94831.95,120325.88,130898.02,130.31,1421018,-3224.38,-3874.03,7300,2407.92,-0.623,-0.6411,0.5,0.5372,59.12,54.08,0.5749,0.5304,
98400,104300,98400,104200,96920,99730,97430,114191.67,140834.17,124737,75830.2,99466.6,95730.9,119245.72,131132.28,132.49,1545755,-2476.94,-3594.61,8300,3586.34,-0.3094,-0.4752,0.5,0.5325,58.31,54.93,0.5835,0.541,
104000,106300,101500,104900,99100,99570,97995,113265,140203.33,105083,81741.6,95580.1,97546.35,118648.25,130975.28,136.9,1650838,-1807.27,-3237.15,11100,5089.07,-0.2707,-0.373,0.5,0.5285,64.11,56.77,0.6149,0.5558,
