Open,High,Low,Close,Price_5,Price_10,Price_20,Price_60,Price_120,Volume,Volume_5,Volume_10,Volume_20,Volume_60,Volume_120,Volume Ratio,OBV,MACD,Signal,Momentum,Momentum_Signal,William_R,William_D,Psychology,Psychology_Signal,MFI,MFI_Signal,RSI,RSI_Signal
41300,41950,40700,41550,42160,42120,42922.5,40499.17,34449.58,558864,429933.6,510789.6,541941.55,638660.35,599868.26,59.87,23319807,5.38,305.28,-2550,-1874.23,-0.6211,-0.6166,0.4,0.3635,23.9,31.54,0.3636,0.4139
41900,43750,41400,43500,42270,42350,42940,40648.33,34567.92,769702,491987.4,478464.9,566443,641230.4,602872.28,67.1,24089509,100.7,264.37,-150,-1529.38,-0.1935,-0.4051,0.5,0.3806,33.32,31.89,0.4931,0.4297
43500,43700,42750,43650,42560,42475,42842.5,40792.5,34683.75,422821,503692,448872.5,551966.15,641480.67,603125.98,62.83,24512330,186.19,248.73,300,-1163.51,-0.025,-0.215,0.5,0.3955,39.53,33.42,0.514,0.4466
43950,46750,43900,46500,43350,42835,42965,40992.5,34826.25,1444373,747040.8,539497.9,597347.35,657676.43,611993.8,91.37,25956703,478.4,294.67,4150,-100.81,-0.0357,-0.1254,0.5,0.4086,53.54,37.45,0.6653,0.4903
46000,46050,44400,44600,43960,43065,43025,41137.5,34952.08,806005,800353,589147.4,604925.5,661168.25,616873.51,89.2,25150698,550.33,345.8,2300,379.36,-0.3071,-0.2163,0.5,0.42,51.76,40.31,0.5799,0.5082
44650,44750,43500,44300,44510,43335,42975,41275.83,35073.75,553619,799304,614618.8,590417.8,650845.57,619304.02,69.95,24597079,576.47,391.93,3100,923.48,-0.405,-0.3106,0.5,0.43,54.78,43.2,0.614,0.5294
44050,44900,43550,44300,44670,43470,42985,41413.33,35199.17,488329,743029.4,617508.4,585673.3,640473.65,621511.96,77.23,24597079,590.39,431.62,1900,1118.79,-0.405,-0.3578,0.4,0.4263,53.61,45.28,0.5766,0.5388
44300,45150,43850,44800,44900,43730,43042.5,41570,35310,471469,752759,628225.5,586153.85,638240,617065.44,90.71,25068548,634.45,472.19,1900,1275.03,-0.3223,-0.34,0.5,0.4355,53.34,46.89,0.5766,0.5464
44950,45950,44100,44950,44590,43970,43122.5,41715.83,35424.17,675316,598947.6,672994.2,594740.4,640370.63,614729.13,110.77,25743864,673.71,512.49,2650,1550.02,-0.2975,-0.3188,0.5,0.4435,59.32,49.38,0.6109,0.5593
45050,45750,43900,44100,44490,44225,43210,41853.33,35541.67,803274,598401.4,699377.2,605604.3,645935.38,616091.64,106.66,24940590,628.98,535.79,2500,1740.02,-0.438,-0.3784,0.5,0.4506,55.66,50.64,0.6033,0.5681
44600,45200,40500,41350,43900,44205,43162.5,41945.83,35650.42,1758970,839471.6,819387.8,665088.7,669250.82,622010.79,88.66,23181620,367.39,502.11,-1600,1072.02,-0.864,-0.6212,0.5,0.4568,44.05,49.32,0.4407,0.5426
41700,41750,38500,39300,42900,43785,43067.5,41994.17,35739.17,1327397,1007285.2,875157.3,676811.1,684331.07,628968.95,85.81,21854223,-5.27,400.63,-2900,277.61,-0.903,-0.7621,0.4,0.4497,40.54,47.56,0.402,0.5145
39350,40250,38600,38900,41720,43310,42892.5,42040.83,35830.42,730813,1059154,905956.5,677414.5,689687.63,630619.67,69.02,21123410,-329.09,254.69,-3650,-507.91,-0.9515,-0.8568,0.3,0.431,38.96,45.84,0.3771,0.487
38600,40300,38250,38850,40500,42545,42690,42081.67,35924.17,881337,1100358.2,849652.9,694575.4,698152.18,634685.39,56.13,20242073,-583.04,87.14,-2700,-946.33,-0.9294,-0.8931,0.2,0.4021,38.03,44.28,0.4029,0.4702
39150,39400,37700,38900,39460,41975,42520,42133.33,36026.67,642292,1068161.8,833281.6,711214.5,699715.5,634782.57,65.64,20884365,-771.37,-84.56,-2650,-1287.06,-0.8674,-0.8803,0.3,0.3893,37.9,43.01,0.405,0.4572
38800,39050,37400,38900,38970,41435,42385,42181.67,36131.25,544482,825264.2,832367.9,723493.35,699180.77,634259.43,69.02,20884365,-910.12,-249.67,-4600,-1949.65,-0.8396,-0.8599,0.3,0.3782,32.1,40.82,0.3083,0.4274
39150,39150,38450,39000,38910,40905,42187.5,42185.83,36232.92,458368,651458.4,829371.8,723440.1,683364.48,632891.43,69.01,21342733,-1000.49,-399.84,-4650,-2489.72,-0.8289,-0.8444,0.4,0.3809,32.03,39.07,0.3054,0.403
39250,39250,37750,37900,38710,40215,41972.5,42170.83,36309.17,651013,635498.4,847326.2,737775.85,683530,630768.38,66.77,20691720,-1147.64,-549.4,-8600,-3711.78,-0.9422,-0.8933,0.3,0.3708,20.25,35.3,0.0784,0.3381
