Price,William's %R,Roc,Momentum,RSI,CCI,ADX,TRIX,MACD,OBV,_TSF_,ATR,MFI
297000,-0.5227,102.41,7000,0.5875,34.67,0.4781,0.23,4032.53,-204808,302906.59,4357.14,53.66
295500,-0.5909,102.43,6000,0.5732,11.2,0.4349,0.22,3670.45,-287680,302164.84,4464.29,53.08
297000,-0.5227,102.77,7000,0.5833,14.45,0.3975,0.21,3464.61,-241423,301741.76,4464.29,52.15
297000,-0.5227,102.95,8500,0.6049,19.35,0.3775,0.2,3263.85,-241423,300824.18,4500,56.26
298000,-0.5,103.29,9000,0.6098,11.45,0.3602,0.19,3149.14,-181780,300000,4464.29,59.52
298000,-0.5,103.65,9500,0.6173,-3.12,0.3374,0.18,3023.37,-181780,298791.21,4500,55.56
300000,-0.4048,97.56,11500,0.6353,28.81,0.3369,0.17,3049.93,-63414,297840.66,4607.14,56.26
299000,-0.5135,98.52,11500,0.6353,-8.24,0.3364,0.17,2956.21,-133463,296049.45,4607.14,62.11
294500,-0.675,98.49,-13000,0.2593,-125.88,0.3477,0.15,2490.12,-571375,296109.89,4214.29,30.6
295000,-0.6111,97.84,-8500,0.3191,-130.28,0.3574,0.14,2136.46,-452383,296038.46,4000,15.79
293500,-0.6452,98.16,-5500,0.3659,-165.23,0.3731,0.12,1715.36,-551994,295027.47,3642.86,17.47
294500,-0.5806,98.66,-7000,0.3158,-118.46,0.3867,0.1,1445.67,-481103,294923.08,3428.57,21.5
294000,-0.6129,98.99,-5000,0.3529,-100.36,0.3984,0.08,1178.01,-519296,294467.03,3285.71,23.12
295000,-0.5484,99.83,-3500,0.4,-79.6,0.4118,0.07,1034.66,-489116,294373.63,3214.29,26.51
294000,-0.6129,98.99,-3000,0.4118,-81.37,0.4234,0.05,830.78,-536329,293846.15,3142.86,26.93
295000,-0.5484,99.33,-500,0.4848,-59.14,0.4334,0.04,741.35,-514422,293439.56,3035.71,30.11
296000,-0.4839,99.33,-1000,0.4688,-10.99,0.4075,0.03,742.61,-457647,293598.9,3000,30.71
