Open,High,Low,Close,Price_5,Price_10,Price_20,Price_60,Price_120,Volume,Volume_5,Volume_10,Volume_20,Volume_60,Volume_120,Volume Ratio,OBV,MACD,MACD_Signal,Momentum,Momentum_Signal,William_R,William_D,Psychology,Psychology_Signal,MFI,MFI_Signal,RSI,RSI_Signal
78694,81136,77591,79955,78127.4,77780.7,78422.6,84163.88,61676.76,81553,42200.8,36068.5,34746.55,46069.23,35361.57,73.4,223566,-1060.31,-1452.56,0,-1629.85,-0.2112,-0.3495,0.4,0.2754,44.9,32.85,0.5,0.4276
79561,81924,79561,79955,78899.4,77898.9,78485.65,83907.87,62343.05,59978,45191,38979.5,35951.3,44276.53,35861.39,82.09,223566,-854.91,-1333.03,1182,-1067.48,-0.3086,-0.329,0.4,0.2909,55.79,37.44,0.5728,0.4567
79955,81924,79955,81924,79844.6,78269.1,78651.05,83684.67,63025.75,48304,49633.4,42059.8,36331.1,43808.88,36263.93,105.16,271870,-527.17,-1171.86,2363,-381.39,0,-0.1645,0.5,0.3171,64.48,42.85,0.6271,0.4908
82712,83500,81136,82318,80585,78757.5,78867.7,83481.17,63711.73,103512,65266,50138.7,40583.7,44776.43,37126.53,141.77,375382,-232.96,-984.08,3151,325.09,-0.1485,-0.1565,0.6,0.3524,69.39,48.16,0.6695,0.5265
82318,85469,81924,81924,81215.2,79285.3,79044.95,83264.53,64394.43,104399,79549.2,56090.1,44823.85,45968.95,37996.52,103.69,270983,-31.23,-793.51,3151,890.27,-0.3571,-0.2568,0.6,0.3834,78.57,54.24,0.6695,0.5551
82318,86650,81924,85863,82396.8,80262.1,79301,83146.38,65109.96,116887,86616,64408.4,49300.95,47283.97,38970.57,124.04,387870,441.4,-546.53,7090,2130.22,-0.0709,-0.1638,0.7,0.423,85.13,60.42,0.7679,0.5977
85863,86650,84287,85469,83499.6,81199.5,79576.7,83028.23,65822.2,64519,87524.2,66357.6,50920.3,47687.33,39508.23,115.53,323351,775.24,-282.17,7247,3153.57,-0.1063,-0.1351,0.7,0.4576,88.16,65.96,0.7771,0.6335
85075,85863,83893,84681,84051,81947.8,79872.1,82870.68,66527.88,84310,94725.4,72179.4,52523.05,48354.58,40210.82,108.19,239041,965.1,-32.72,7247,3972.26,-0.1773,-0.1562,0.6,0.4754,81.48,69.07,0.7771,0.6623
84287,86650,82712,86257,84838.8,82711.9,80206.9,82772.22,67246.68,92191,92461.2,78863.6,54968.25,48641.03,40979.07,117.89,331232,1228.57,219.54,9611,5100.01,-0.0354,-0.0958,0.6,0.491,87.13,72.68,0.8466,0.6991
85469,87044,85469,85863,85626.6,83420.9,80541.7,82627.8,67962.21,71551,85891.6,82720.4,57418.95,48258.08,41575.33,107.45,259681,1389.56,453.54,9768,6033.61,-0.1034,-0.0996,0.5,0.4921,90.96,76.33,0.8563,0.7306
85863,88620,85075,87438,85941.6,84169.2,80974.95,82509.63,68690.86,72285,76971.2,81793.6,58931.05,48008.05,42177.71,130.41,331966,1625.5,687.93,11343,7095.49,-0.0944,-0.097,0.5,0.4931,91.27,79.32,0.8711,0.7587
86650,87832,83893,84287,85705.2,84602.4,81250.65,82365.22,69393.25,42453,72558,80041.1,59510.3,48060.88,42531.48,121,289513,1540.46,858.44,7089,7094.19,-0.3874,-0.2422,0.5,0.4939,87.1,80.88,0.7045,0.7478
83893,86650,83893,85863,85941.6,84996.3,81632.7,82260.18,70108.77,34286,62553.2,78639.3,60349.55,48289.28,42817.2,131.65,323799,1582.01,1003.15,7247,7124.75,-0.25,-0.2461,0.5,0.4947,87.25,82.15,0.7072,0.7397
85075,87044,84681,86650,86020.2,85429.5,82093.5,82161.72,70830.86,36356,51386.2,71923.7,61031.2,48534.97,43120.17,144.95,360155,1659.31,1134.38,7877,7275.2,-0.1786,-0.2123,0.5,0.4954,87.33,83.19,0.7174,0.7352
86650,87044,85469,86257,86099,85862.8,82574.05,82089.52,71549.67,31933,43462.6,64677.1,60383.6,48391.8,43386.28,148.81,328222,1669.61,1241.43,6302,7080.56,-0.2608,-0.2366,0.5,0.4959,86.74,83.9,0.6818,0.7246
86257,86650,85075,86257,85862.8,85902.2,83082.15,82037,72268.48,25915,34188.6,55579.9,59994.15,47825.98,43602.23,158.25,328222,1658.66,1324.87,6302,6924.85,-0.2727,-0.2547,0.4,0.484,83.47,83.81,0.6818,0.716
85863,86257,83500,84287,85862.8,85784,83491.75,81997.62,72970.87,49648,35627.6,54092.8,60225.2,47968.6,44015.97,144.94,278574,1474.02,1354.7,2363,6012.48,-0.579,-0.4168,0.4,0.4735,78.21,82.69,0.5682,0.6864
84287,85075,83500,83893,85468.8,85705.2,83826.5,81964.78,73669.98,32204,35211.2,48882.2,60530.8,47843.3,44284.33,131.05,246370,1281.13,1339.99,1575,5124.98,-0.7059,-0.5614,0.4,0.4643,72.77,80.71,0.5454,0.6582
83500,86650,83106,85863,85311.4,85665.8,84188.85,81945.1,74385.5,57246,39389.2,45387.7,62125.65,47694.58,44761.38,137.14,303616,1272.56,1326.5,3939,4887.79,-0.4117,-0.4866,0.4,0.4562,71.28,78.82,0.6042,0.6474
85469,86650,84287,85075,85075,85587,84503.95,81945.1,75094.46,39626,40927.8,42195.2,62457.8,47595.13,45091.6,121.64,263990,1188.49,1298.9,-788,3752.63,-0.6,-0.5433,0.4,0.4492,68.29,76.72,0.475,0.6129
85469,85863,84681,84681,84759.8,85311.3,84740.25,81971.35,75800.13,19582,39661.2,36924.9,59359.25,47237.7,45254.78,103.57,244408,1077.64,1254.65,-788,2844.5,-0.6667,-0.605,0.3,0.4306,63.4,74.05,0.475,0.5854
84681,89014,84681,88620,85626.4,85744.6,85173.5,82076.38,76538.63,96024,48936.4,42282,61161.55,48111.72,46054.98,121.13,340432,1292.74,1262.27,3939,3063.4,-0.0625,-0.3338,0.4,0.4267,76.03,74.45,0.6042,0.5891
91771,93740,90195,91377,87123.2,86296,85646.15,82207.67,77300.11,167128,75921.2,55566.2,67102.75,50065.17,47447.72,142.61,507560,1666.46,1343.1,5120,3474.72,-0.2222,-0.278,0.4,0.4234,78.68,75.3,0.6274,0.5968
90589,93740,90195,92558,88462.2,86886.8,86158.15,82352.08,78071.43,91666,82805.2,61097.2,66510.45,51081.58,48211.6,140.46,599226,2034.48,1481.38,6695,4118.78,-0.1112,-0.1946,0.4,0.4205,79.38,76.11,0.6604,0.6095
92165,94134,92165,92165,89880.2,87477.6,86670.2,82476.82,78839.47,91515,93183,67055.4,65866.25,52058.75,48974.23,143.81,507711,2268.28,1638.76,4727,4240.42,-0.1785,-0.1866,0.4,0.4179,80.01,76.89,0.62,0.6116
92165,95316,91771,94922,91928.4,88344.1,87123.15,82634.37,79630.48,44306,98127.8,68894.5,62237.2,52190.78,49343.44,130.38,552017,2645.54,1840.12,10635,5519.34,-0.0323,-0.1094,0.5,0.4282,85.14,78.54,0.7755,0.6444
94922,95709,93346,94922,93188.8,89407.6,87595.8,82818.18,80421.5,53259,89574.8,69255.6,61674.2,52624.18,49787.27,145.51,552017,2910.97,2054.29,9059,6227.27,-0.0624,-0.0859,0.5,0.4372,85.56,79.94,0.7556,0.6666
95709,98073,94134,95709,94055.2,90589.2,88147.2,82982.28,81219.08,68436,69836.4,72878.8,60880.5,53166.43,50357.57,191.23,620453,3148.53,2273.13,9059,6793.62,-0.1579,-0.1219,0.6,0.4575,86.19,81.19,0.7556,0.6844
97285,98467,95709,98467,95237,91849.6,88757.7,83212.05,82039.63,71201,65743.4,74274.3,59831,53704.75,50950.91,186.2,691654,3518.78,2522.26,12210,7876.89,0,-0.061,0.6,0.4753,86.89,82.33,0.8039,0.7083
98467,101617,97679,100436,96891.2,93385.7,89486.35,83500.88,82876.6,103836,68207.6,80695.3,61445.25,54760,51816.21,254.61,795490,3925.84,2802.98,14179,9137.31,-0.0638,-0.0624,0.7,0.5034,90.53,83.97,0.8214,0.7309
101617,102011,98467,99254,97757.6,94843,90077.15,83737.2,83703.72,61943,71735,84931.4,60928.15,53143.62,52332.4,198.31,733547,4105.73,3063.53,14967,10303.25,-0.1458,-0.1041,0.7,0.528,94.94,86.17,0.8519,0.7551
98467,110676,98073,107132,100199.6,96694.2,91219.4,84150.77,84596.48,316760,124435.2,107005,74643.5,57506.2,54972.07,307.85,1050307,4828.32,3416.49,23239,12890.4,-0.1285,-0.1163,0.7,0.5495,98.58,88.65,0.9041,0.7849
107525,111070,104768,107525,102562.8,98309,92302.5,84570.88,85492.53,189486,148645.2,109240.8,82403.5,59766.73,56551.12,350.25,1239793,5370.78,3807.35,21662,14644.72,-0.1324,-0.1243,0.7,0.5683,98.74,90.67,0.8986,0.8076
109495,114221,107132,109495,104768.4,100002.7,93444.75,85030.4,85715.72,149674,164339.8,115041.6,88069.4,61655.63,57484.18,381.2,1389467,5891.74,4224.22,24420,16599.78,-0.16,-0.1422,0.7,0.5848,98.86,92.3,0.9306,0.8322
109495,111070,107525,110676,106816.4,101853.8,94665.7,85548.98,85922.49,69777,157528,112867.8,89961.6,62002.58,57248.23,438.52,1459244,6326.96,4644.77,25995,18478.82,-0.12,-0.1311,0.8,0.6117,94.95,92.83,0.946,0.855
110283,110283,107525,109495,108864.6,103311.1,95827.6,86054.45,86145.68,67735,158686.4,115210.7,92052.6,62272.63,57396.9,373.42,1391509,6501.63,5016.14,20875,18958.06,-0.1967,-0.1639,0.7,0.6227,90.01,92.27,0.8956,0.8631
